ID,Dep,Nom,Code Postal,INSEE,Habitants,Densite,Surface,Longitude,Latitude,Altitude Max
112,1,Polliat,1310,1301,2403,119,20.07,5.13333,46.25,233
113,1,Vesancy,1170,1436,526,49,10.7,6.08333,46.35,1490
114,1,Massieux,1600,1238,2428,783,3.1,4.83333,45.9167,284
115,1,Saint-Cyr-sur-Menthon,1380,1343,1636,96,16.93,4.98333,46.2667,217
116,1,Serrières-sur-Ain,1450,1404,119,14,8.18,5.45,46.15,649
117,1,Nivollet-Montgriffon,1230,1277,143,17,8.24,5.43333,45.9833,833
118,1,Izernore,1580,1192,2278,109,20.86,5.55,46.2167,822
119,1,Saint-Nizier-le-Désert,1320,1381,880,35,24.96,5.15,46.05,323
120,1,Guéreins,1090,1183,1308,290,4.51,4.78333,46.1,232
121,1,Illiat,1140,1188,570,27,20.37,4.88333,46.1833,257
122,1,La Tranclière,1160,1425,301,20,14.75,5.26667,46.1167,302
123,1,Saint-Didier-de-Formans,1600,1347,1792,274,6.53,4.78333,45.95,258
124,1,Mérignat,1450,1242,139,43,3.17,5.43333,46.0667,587
125,1,Saint-Éloi,1800,1349,399,27,14.26,5.15,45.9333,310
126,1,La Chapelle-du-Châtelard,1240,1085,341,25,13.37,5.03333,46.0667,285
127,1,Saint-Jean-de-Niost,1800,1361,1421,100,14.19,5.21667,45.8333,242
128,1,Savigneux,1480,1398,1204,81,14.75,4.85,46,287
129,1,Nattages,1300,1271,564,54,10.33,5.76667,45.7333,633
130,1,Saint-Benoît,1300,1338,773,35,21.65,5.58333,45.7,778
131,1,Douvres,1500,1149,962,182,5.26,5.36667,45.9833,480
132,1,Francheleins,1090,1165,1323,97,13.56,4.8,46.0667,273
133,1,Dortan,1590,1148,1996,110,18.11,5.66667,46.3167,758
134,1,Saint-Germain-les-Paroisses,1300,1358,387,23,16.27,5.61667,45.7667,1000
135,1,Miribel,1700,1249,9066,370,24.49,4.95306,45.8245,314
136,1,Lancrans,1200,1205,1052,108,9.66,5.83333,46.1333,1606
137,1,Échenevex,1170,1153,1631,99,16.44,6.03333,46.3167,1682
138,1,Saint-Jean-sur-Veyle,1290,1365,1082,96,11.21,4.91667,46.25,213
139,1,Billiat,1200,1044,484,35,13.7,5.78333,46.0667,1314
140,1,L'Abergement-de-Varey,1640,1002,221,24,9.15,5.41667,46,748
141,1,Villeneuve,1480,1446,1383,51,26.79,4.83667,46.0212,287
142,1,Villars-les-Dombes,1330,1443,4399,178,24.65,5.01667,46,295
143,1,Thézillieu,1110,1417,324,12,26.25,5.6,45.8833,1123
144,1,Saint-Étienne-sur-Reyssouze,1190,1352,531,38,13.82,5,46.4,209
145,1,Souclin,1150,1411,261,19,13.19,5.41667,45.8667,1064
146,1,Saint-Just,1250,1369,881,260,3.38,5.28,46.1903,268
147,1,Civrieux,1390,1105,1362,68,19.76,4.88333,45.9167,311
148,1,Argis,1230,1017,421,53,7.84,5.48333,45.9333,819
149,1,Talissieu,1510,1415,425,88,4.8,5.71667,45.8667,574
150,1,Birieux,1330,1045,236,14,15.83,5.03333,45.95,291
151,1,Saint-Julien-sur-Veyle,1540,1368,715,72,9.84,4.95,46.2,252
152,1,Thoiry,1710,1419,5205,179,28.93,5.97973,46.2364,1704
153,1,Laiz,1290,1203,1130,109,10.31,4.88333,46.25,210
154,1,Cressin-Rochefort,1350,1133,374,47,7.93,5.76667,45.7667,554
155,1,Saint-Champ,1300,1341,139,27,5.14,5.73333,45.7833,554
156,1,Saint-Georges-sur-Renon,1400,1356,197,34,5.66,5.03333,46.1,291
157,1,Lantenay,1430,1206,257,38,6.59,5.53333,46.05,1012
158,1,Vernoux,1560,1433,285,27,10.2,5.11667,46.4833,216
159,1,Cormaranche-en-Bugey,1110,1122,859,45,18.92,5.6,45.95,1241
160,1,Sainte-Euphémie,1600,1353,1482,321,4.61,4.78333,45.9667,261
161,1,Beaupont,1270,1029,624,44,14.07,5.26667,46.4,228
162,1,Brens,1300,1061,1158,167,6.9,5.69473,45.7187,347
163,1,Ramasse,1250,1317,250,25,9.86,5.35,46.2,590
164,1,Divonne-les-Bains,1220,1143,8160,240,33.88,6.13333,46.3667,1447
165,1,Léaz,1200,1209,569,49,11.4,5.88333,46.1,1507
166,1,Villes,1200,1448,385,41,9.21,5.78333,46.0833,1321
167,1,Saint-Julien-sur-Reyssouze,1560,1367,668,88,7.52,5.11667,46.4,218
168,1,Groslée,1680,1182,353,48,7.27,5.56667,45.7167,1000
169,1,Vandeins,1660,1429,619,65,9.4,5.08333,46.2167,251
170,1,Verjon,1270,1432,250,48,5.11,5.35,46.35,496
171,1,Saint-André-sur-Vieux-Jonc,1240,1336,1079,44,24.22,5.06667,46.15,269
172,1,Saint-André-d'Huiriat,1290,1334,543,60,9,4.91667,46.2167,225
173,1,Grilly,1220,1180,762,101,7.5,6.11667,46.3333,751
174,1,Cessy,1170,1071,3992,624,6.39,6.06667,46.3167,583
175,1,Ordonnaz,1510,1280,141,9,14.88,5.53333,45.8333,1161
176,1,Vescours,1560,1437,208,16,12.48,5.03333,46.4667,217
177,1,Meillonnas,1370,1241,1298,73,17.74,5.35,46.25,460
178,1,Géovreisset,1100,1171,903,272,3.31,5.6,46.25,754
179,1,Ceyzérieu,1350,1073,929,47,19.72,5.73333,45.8333,444
180,1,Béard-Géovreissiat,1460,1170,925,197,4.69,5.56667,46.2,724
181,1,La Burbanche,1510,1066,72,6,10.82,5.56667,45.85,860
182,1,Perrex,1540,1291,826,74,11.07,4.98333,46.2333,213
183,1,Villemotier,1270,1445,632,45,13.86,5.31667,46.35,261
184,1,Jasseron,1250,1195,1552,81,18.93,5.33333,46.2167,590
185,1,Corveissiat,1250,1125,602,26,22.69,5.48333,46.2333,668
186,1,Journans,1250,1197,324,133,2.43,5.33333,46.15,506
187,1,Sermoyer,1190,1402,669,40,16.7,4.98333,46.5,214
188,1,Charix,1130,1087,294,16,18.27,5.68333,46.1833,1046
189,1,Arbignieu,1300,1015,480,36,13.07,5.65,45.7333,495
190,1,Leyssard,1450,1214,153,16,9.13,5.46667,46.1667,825
191,1,Saint-Jean-de-Thurigneux,1390,1362,710,44,16,4.88333,45.95,305
192,1,Frans,1480,1166,1984,248,7.98,4.78333,45.9833,267
193,1,Tenay,1230,1416,1120,85,13.12,5.5,45.9167,1020
194,1,Bâgé-la-Ville,1380,1025,3040,76,39.68,4.95,46.3167,217
195,1,Montmerle-sur-Saône,1090,1263,3823,918,4.16,4.76667,46.0833,227
196,1,Courmangoux,1370,1127,507,34,14.82,5.36667,46.3333,652
197,1,Baneins,1990,1028,572,64,8.91,4.9,46.1167,272
198,1,Lagnieu,1150,1202,6756,247,27.25,5.35,45.9,643
199,1,Attignat,1340,1024,2936,157,18.69,5.16667,46.2833,233
200,1,Saint-André-de-Bâgé,1380,1332,635,235,2.7,4.91667,46.3,212
201,1,Pont-de-Vaux,1190,1305,2205,292,7.54,4.93333,46.4333,204
202,1,Ambérieu-en-Bugey,1500,1004,13835,562,24.6,5.35,45.95,753
203,1,Peyzieux-sur-Saône,1140,1295,473,54,8.66,4.81667,46.1167,259
204,1,Crozet,1170,1135,1862,67,27.47,6.01251,46.2806,1680
205,1,Seyssel,1420,1407,942,392,2.4,5.83194,45.9597,332
206,1,Beynost,1700,1043,4475,420,10.64,5,45.8333,322
207,1,Versonnex,1210,1435,2144,364,5.89,6.09723,46.3023,506
208,1,Saint-Laurent-sur-Saône,1620,1370,1749,3300,0.53,4.83333,46.3,174
209,1,Artemare,1510,1022,1126,300,3.75,5.7,45.8667,360
210,1,Montracol,1310,1264,967,66,14.56,5.11667,46.1833,258
211,1,Parves,1300,1286,360,65,5.53,5.75,45.75,623
212,1,Pugieu,1510,1316,168,34,4.85,5.65,45.8167,409
213,1,Virieu-le-Grand,1510,1452,1156,92,12.55,5.65,45.85,1059
214,1,Saint-Rémy,1310,1385,906,122,7.38,5.16667,46.1833,265
215,1,Rancé,1390,1318,641,67,9.53,4.86667,45.9667,294
216,1,Grièges,1290,1179,1899,127,14.87,4.85,46.25,212
217,1,Grand-Corent,1250,1177,161,22,7.13,5.43333,46.2,668
218,1,Outriaz,1430,1282,256,43,5.91,5.55,46.0667,1103
219,1,Montagnieu,1470,1255,495,79,6.22,5.46667,45.8,714
220,1,Champagne-en-Valromey,1260,1079,765,42,18.16,5.68333,45.9,746
221,1,Ambérieux-en-Dombes,1330,1005,1616,101,15.92,4.9,46,302
222,1,La Boisse,1120,1049,2928,311,9.4,5.03333,45.85,319
223,1,Parcieux,1600,1285,1095,348,3.14,4.81667,45.9167,287
224,1,Saint-Didier-d'Aussiat,1340,1346,863,56,15.22,5.06667,46.3,223
225,1,Saint-Nizier-le-Bouchoux,1560,1380,703,24,28.3,5.15,46.45,222
226,1,Ars-sur-Formans,1480,1021,1367,248,5.5,4.81667,45.9833,281
227,1,Anglefort,1350,1010,994,33,29.26,5.80833,45.9167,1524
228,1,Corlier,1110,1121,124,22,5.45,5.5,46.0333,917
229,1,Ferney-Voltaire,1210,1160,8025,1678,4.78,6.11667,46.25,446
230,1,Saint-Maurice-de-Rémens,1500,1379,709,68,10.35,5.28333,45.95,235
231,1,Châtillon-la-Palud,1320,1092,1562,111,14.01,5.25,45.9667,326
232,1,Saint-Sulpice,1340,1387,142,26,5.26,5.04167,46.3203,217
233,1,Saint-Bois,1300,1340,123,13,9.42,5.63333,45.7,778
234,1,Virignin,1300,1454,855,108,7.88,5.71667,45.7167,605
235,1,Prémillieu,1110,1311,36,4,8.51,5.56667,45.8667,1084
236,1,Genouilleux,1090,1169,609,149,4.08,4.78333,46.1167,231
237,1,Reyssouze,1190,1323,929,97,9.54,4.91667,46.4333,202
238,1,Collonges,1550,1109,1897,116,16.25,5.9,46.1333,1621
239,1,Saint-Germain-de-Joux,1130,1357,480,42,11.27,5.73333,46.1833,1091
240,1,Brégnier-Cordon,1300,1058,832,75,11,5.61667,45.65,460
241,1,Saint-Martin-le-Châtel,1310,1375,790,61,12.77,5.11667,46.2833,225
242,1,Marignieu,1300,1234,148,41,3.55,5.71667,45.8,503
243,1,Neyrolles,1130,1274,637,67,9.5,5.63333,46.1333,1118
244,1,Sulignat,1400,1412,569,52,10.8,4.96667,46.1667,278
245,1,Bény,1370,1038,724,39,18.25,5.28333,46.3333,244
246,1,Injoux-Génissiat,1200,1189,1055,35,29.61,5.78333,46.05,1342
247,1,Chanay,1420,1082,617,34,18.1,5.78333,46,1184
248,1,Châtillon-sur-Chalaronne,1400,1093,4922,273,17.98,4.96667,46.1167,274
249,1,Farges,1550,1158,854,59,14.28,5.91667,46.1667,1527
250,1,Saint-Alban,1450,1331,163,20,8.08,5.45,46.1,634
251,1,Curtafond,1310,1140,702,56,12.41,5.08333,46.2667,227
252,1,Viriat,1440,1451,6006,133,45.03,5.21667,46.25,257
253,1,Belleydoux,1130,1035,321,18,17.63,5.76667,46.25,1281
254,1,Bâgé-le-Châtel,1380,1026,796,904,0.88,4.93333,46.3,211
255,1,Sainte-Olive,1330,1382,303,41,7.39,4.93333,46.0167,301
256,1,Saint-Genis-sur-Menthon,1380,1355,408,35,11.55,5.01667,46.2833,218
257,1,Domsure,1270,1147,473,31,15.2,5.3,46.4167,233
258,1,Chavannes-sur-Suran,1250,1095,644,29,21.5,5.41667,46.2667,770
259,1,Priay,1160,1314,1488,94,15.77,5.28333,46,342
260,1,Peyrieu,1300,1294,821,58,14.13,5.67751,45.6767,683
261,1,Lalleyriat,1130,1204,239,15,15.25,5.71667,46.15,1241
262,1,Sergy,1630,1401,1977,208,9.46,6,46.25,1702
263,1,Saint-Martin-du-Frêne,1430,1373,1077,56,19.14,5.55,46.1333,1125
264,1,Saint-Maurice-de-Beynost,1700,1376,3865,552,6.99,4.96667,45.8333,315
265,1,Servas,1240,1405,1184,90,13.05,5.16667,46.1333,279
266,1,Cuzieu,1300,1141,407,83,4.87,5.67445,45.8192,449
267,1,Jayat,1340,1196,1049,64,16.3,5.11667,46.3667,218
268,1,Lavours,1350,1208,148,23,6.3,5.76667,45.8,320
269,1,Chevroux,1190,1102,933,54,17.2,4.95,46.3833,208
270,1,Pollieu,1350,1302,157,42,3.71,5.75,45.8,480
271,1,Béligneux,1360,1032,2905,218,13.3,5.11667,45.8667,283
272,1,Brénaz,1260,1059,92,9,9.79,5.71667,45.95,1425
273,1,Bénonces,1470,1037,275,17,15.33,5.48333,45.8333,1029
274,1,Saint-Jean-le-Vieux,1640,1363,1609,104,15.33,5.38917,46.0284,506
275,1,Beauregard,1480,1030,870,925,0.94,4.75139,46.002,240
276,1,Oyonnax,1100,1283,22650,626,36.18,5.66667,46.25,1082
277,1,Mionnay,1390,1248,2077,105,19.62,4.93333,45.9,321
278,1,Germagnat,1250,1172,145,15,9.48,5.45,46.3167,761
279,1,Coligny,1270,1108,1154,68,16.87,5.35,46.3833,575
280,1,Simandre-sur-Suran,1250,1408,650,39,16.3,5.41667,46.2167,644
281,1,L'Abergement-Clémenciat,1400,1001,784,49,15.95,4.91667,46.15,272
282,1,Lescheroux,1560,1212,683,34,20.05,5.15,46.4,223
283,1,Ornex,1210,1281,3531,626,5.64,6.1,46.2833,487
284,1,Dommartin,1380,1144,841,48,17.19,4.99167,46.3417,217
285,1,Lompnas,1680,1219,149,11,12.69,5.51667,45.8,980
286,1,Bettant,1500,1041,724,214,3.37,5.36667,45.9333,605
287,1,Armix,1510,1019,20,2,6.82,5.58333,45.85,1064
288,1,Feillens,1570,1159,3115,208,14.91,4.88333,46.3333,207
289,1,Chavornay,1510,1097,199,25,7.77,5.7,45.8833,1440
290,1,Challex,1630,1078,1225,141,8.67,5.96667,46.1833,516
291,1,Vongnes,1350,1456,74,36,2.05,5.71667,45.8167,505
292,1,Magnieu,1300,1227,419,67,6.23,5.71667,45.7833,460
293,1,Groissiat,1810,1181,1143,180,6.32,5.6,46.2167,940
294,1,Dompierre-sur-Chalaronne,1400,1146,389,81,4.78,4.9,46.1333,262
295,1,Montluel,1120,1262,6999,174,40.11,5.05,45.85,312
296,1,Le Poizat,1130,1300,422,23,17.9,5.7,46.15,1200
297,1,Hostiaz,1110,1186,82,7,10.6,5.53333,45.9,1086
298,1,Montanges,1200,1257,330,24,13.7,5.8,46.1667,1090
299,1,Sainte-Julie,1150,1366,889,79,11.15,5.28333,45.8833,257
300,1,Bey,1290,1042,245,88,2.77,4.85,46.2167,213
301,1,Sonthonnax-la-Montagne,1580,1410,320,22,14.14,5.53333,46.2333,783
302,1,Mézériat,1660,1246,2072,108,19.17,5.03333,46.2333,223
303,1,Bellignat,1810,1031,3537,451,7.83,5.61667,46.25,983
304,1,Saint-Marcel,1390,1371,1212,104,11.64,4.98723,45.9487,292
305,1,Belley,1300,1034,8755,390,22.42,5.68333,45.7667,392
306,1,Corbonod,1420,1118,1176,37,31.59,5.81667,45.95,1367
307,1,Neyron,1700,1275,2472,461,5.36,4.93223,45.8148,312
308,1,Saint-Paul-de-Varax,1240,1383,1551,59,25.97,5.13333,46.1,281
309,1,Pressiat,1370,1312,224,37,6.01,5.38333,46.3333,660
310,1,Chazey-Bons,1300,1098,744,70,10.59,5.68333,45.8,423
311,1,Servignat,1560,1406,160,20,7.99,5.06667,46.4333,213
312,1,Marlieux,1240,1235,887,52,16.85,5.06667,46.0667,282
313,1,Andert-et-Condon,1300,1009,340,48,6.94,5.65,45.8,374
314,1,Hautecourt-Romanèche,1250,1184,773,35,21.6,5.41667,46.1583,548
315,1,Crottet,1620,1134,1722,142,12.12,4.9,46.2833,213
316,1,Druillat,1160,1151,1134,54,20.72,5.31667,46.0667,343
317,1,Dompierre-sur-Veyle,1240,1145,1226,42,29.1,5.2,46.0667,312
318,1,Pérouges,1800,1290,1204,63,18.97,5.18333,45.9,303
319,1,Rignieux-le-Franc,1800,1325,950,63,15.02,5.18333,45.9333,316
320,1,Giron,1130,1174,162,17,9.39,5.76667,46.2333,1206
321,1,Cerdon,1450,1068,741,60,12.3,5.46667,46.0833,992
322,1,Cruzilles-lès-Mépillat,1290,1136,818,69,11.84,4.88333,46.2167,222
323,1,Lélex,1410,1210,225,12,17.63,5.95,46.3,1703
324,1,Lhôpital,1420,1215,59,16,3.68,5.77834,46.0217,1160
325,1,Ségny,1170,1399,1649,508,3.24,6.08333,46.3,519
326,1,Cheignieu-la-Balme,1510,1100,157,25,6.26,5.61667,45.8333,1166
327,1,Saint-Vulbas,1150,1390,957,44,21.44,5.28333,45.8333,227
328,1,Échallon,1130,1152,772,27,28.09,5.74139,46.21,1082
329,1,Le Montellier,1800,1260,244,15,15.38,5.06667,45.9333,297
330,1,Martignat,1810,1237,1604,121,13.25,5.6,46.2167,974
331,1,Ceyzériat,1250,1072,2738,292,9.36,5.31667,46.1667,585
332,1,Montcet,1310,1259,665,99,6.68,5.11667,46.2,247
333,1,Vonnas,1540,1457,2790,156,17.81,5,46.2167,253
334,1,Buellas,1310,1065,1669,163,10.21,5.13333,46.2,266
335,1,Saint-Bénigne,1190,1337,1161,70,16.49,4.96667,46.4333,216
336,1,Chevillard,1430,1101,162,24,6.67,5.58333,46.1167,1108
337,1,Bouligneux,1330,1052,309,11,26.09,5,46.0167,301
338,1,Contrevoz,1300,1116,539,38,14.18,5.63333,45.8,1218
339,1,Champdor,1110,1080,464,26,17.37,5.6,46.0167,1183
340,1,Port,1460,1307,847,199,4.25,5.56667,46.1667,991
341,1,Surjoux,1420,1413,78,18,4.31,5.8,46.0167,510
342,1,Champfromier,1410,1081,677,20,32.4,5.81667,46.2,1540
343,1,Vésines,1570,1439,91,23,3.88,4.86667,46.35,176
344,1,Seillonnaz,1470,1400,138,14,9.59,5.48333,45.8,724
345,1,Varambon,1160,1430,521,65,7.99,5.31667,46.0333,347
346,1,Le Grand-Abergement,1260,1176,109,3,31.92,5.66667,46.0333,1293
347,1,Jassans-Riottier,1480,1194,5976,1242,4.81,4.75,45.9833,249
348,1,Asnières-sur-Saône,1570,1023,73,15,4.68,4.88333,46.3833,175
349,1,Condamine,1430,1112,404,87,4.64,5.56667,46.1167,808
350,1,Lhuis,1680,1216,854,34,24.43,5.53333,45.75,1020
351,1,Romans,1400,1328,587,26,22.32,5.03333,46.1167,280
352,1,Pizay,1120,1297,777,69,11.18,5.08333,45.8833,294
353,1,Certines,1240,1069,1445,90,15.92,5.26667,46.1333,277
354,1,Ruffieu,1260,1330,202,14,14.03,5.66667,46,1195
355,1,Meximieux,1800,1244,7268,528,13.75,5.2,45.9,310
356,1,Saint-Rambert-en-Bugey,1230,1384,2164,75,28.55,5.43333,45.95,819
357,1,Ambronay,1500,1007,2362,70,33.55,5.35,46,765
358,1,Cize,1250,1106,170,37,4.52,5.43333,46.2,540
359,1,Saint-Germain-sur-Renon,1240,1359,236,14,15.8,5.05,46.0833,286
360,1,Villette-sur-Ain,1320,1449,673,34,19.38,5.26862,45.9884,331
361,1,Dagneux,1120,1142,4099,616,6.65,5.06667,45.85,285
362,1,Boissey,1190,1050,288,31,9.05,5,46.3833,208
363,1,Salavre,1270,1391,284,36,7.77,5.35,46.3667,561
364,1,Brion,1460,1063,517,115,4.48,5.55251,46.1728,642
365,1,Labalme,1450,1200,204,23,8.8,5.48333,46.1,999
366,1,Sauverny,1220,1397,1078,570,1.89,6.11667,46.3167,516
